date,type,business_id
20191107,Required,a2j0f0000015L11AAE
20191107,Required,a2j0f0000015NZdAAM
20191031,Follow-up,a2j0f0000015MOZAA2
20191030,Required,a2j0f0000015NIwAAM
20191029,Required,a2j0f0000015KpPAAU
20191106,Follow-up,a2j0f0000015N4GAAU
20191029,Required,a2j0f0000008M5CAAU
20191029,Required,a2j0f0000015L5cAAE
20191029,Required,a2j0f000001XZHXAA4
20191029,Required,a2j0f0000015O52AAE
20191031,Required,a2j0f0000019NQkAAM
20191029,Required,a2j0f0000008O2lAAE
20191029,Required,a2j0f0000015MDRAA2
20191029,Required,a2j0f0000015NJZAA2
20191029,Required,a2j0f0000015MvrAAE
20191029,Required,a2j0f0000015MB4AAM
20191029,Required,a2j0f0000015NKxAAM
20191029,Required,a2j0f000000z49XAAQ
20191029,Required,a2j0f0000015NH0AAM
20191029,Required,a2j0f0000015M7dAAE
20191029,Required,a2j0f0000015LTHAA2
20191111,Follow-up,a2j0f000001XZHXAA4
20191029,Required,a2j0f0000015LdTAAU
20191029,Required,a2j0f0000015MMmAAM
20191029,Required,a2j0f000001Mvr8AAC
20191029,Required,a2j0f0000015NBPAA2
20191029,Required,a2j0f000000SOUZAA4
20191030,Required,a2j0f0000015OduAAE
20191030,Required,a2j0f000001A9MYAA0
20191030,Required,a2j0f0000015MdHAAU
20191030,Required,a2j0f0000015Me2AAE
20191030,Required,a2j0f000001XcsiAAC
20191030,Required,a2j0f0000015L8zAAE
20191127,Required,a2j0f0000015MilAAE
20191030,Required,a2j0f0000015MoxAAE
20191030,Required,a2j0f0000015Mo3AAE
20191030,Required,a2j0f0000015NoMAAU
20191030,Required,a2j0f0000015MU7AAM
20191101,Required,a2j0f0000015MS8AAM
20191111,Required,a2j0f0000015M1jAAE
20191102,Required,a2j0f000000TD9DAAW
20191101,Required,a2j0f0000015MCUAA2
20191101,Required,a2j0f0000015MKVAA2
20191102,Required,a2j0f000001MyMqAAK
20191102,Required,a2j0f000000jeJUAAY
20191107,Required,a2j0f0000015Ny8AAE
20191107,Required,a2j0f0000015LptAAE
20191107,Required,a2j0f0000015NAwAAM
20191107,Required,a2j0f0000015M6mAAE
20191107,Required,a2j0f000001McD1AAK
20191107,Required,a2j0f0000015NpJAAU
20191028,Required,a2j0f0000015NjkAAE
20191029,Required,a2j0f0000015LnkAAE
20191029,Required,a2j0f0000015NmsAAE
20191030,Required,a2j0f0000015MR4AAM
20191028,Required,a2j0f0000015NI0AAM
20191029,Required,a2j0f0000015N0sAAE
20191029,Required,a2j0f0000015NOfAAM
20191029,Required,a2j0f0000015MMtAAM
